"observation_id","update_datetime","site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value","abundance_value"
22589026,"2020-05-20 09:10:34",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-04-20",110,0,-9999,"-9999",-9999
22585089,"2020-05-20 08:52:47",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-10-10",283,0,-9999,"-9999",-9999
22589048,"2020-05-20 09:09:30",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-04-25",115,0,-9999,"-9999",-9999
22585111,"2020-05-20 08:53:39",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-08-30",242,0,-9999,"-9999",-9999
22589070,"2020-05-20 09:11:12",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-06-27",178,0,-9999,"-9999",-9999
22585133,"2020-05-20 08:52:05",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-10-26",299,0,-9999,"-9999",-9999
22589092,"2020-05-20 09:09:46",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-06-04",155,0,-9999,"-9999",-9999
22585155,"2020-05-20 08:53:14",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-10-03",276,0,-9999,"-9999",-9999
22589114,"2020-05-20 09:11:08",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-06-20",171,0,-9999,"-9999",-9999
22585177,"2020-05-20 08:52:25",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-06-07",158,0,-9999,"-9999",-9999
22589136,"2020-05-20 09:09:59",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-03-28",87,0,-9999,"-9999",-9999
22588906,"2020-05-20 09:11:02",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-11-12",316,0,-9999,"-9999",-9999
22585199,"2020-05-20 08:53:55",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-07-26",207,0,-9999,"-9999",-9999
22588928,"2020-05-20 09:10:41",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-04-04",94,0,-9999,"-9999",-9999
22584891,"2020-05-20 08:50:49",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-08-02",214,0,-9999,"-9999",-9999
22584913,"2020-05-20 08:53:44",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-06-14",165,0,-9999,"-9999",-9999
22584935,"2020-05-20 08:51:03",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-08-09",221,0,-9999,"-9999",-9999
22584957,"2020-05-20 08:52:38",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-07-06",187,0,-9999,"-9999",-9999
22584979,"2020-05-20 08:51:15",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-08-23",235,0,-9999,"-9999",-9999
22585001,"2020-05-20 08:53:35",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-07-12",193,0,-9999,"-9999",-9999
22585023,"2020-05-20 08:51:37",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-08-16",228,0,-9999,"-9999",-9999
22584814,"2020-05-20 08:53:51",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-11-14",318,0,-9999,"-9999",-9999
22584836,"2020-05-20 08:50:28",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-09-26",269,0,-9999,"-9999",-9999
22584858,"2020-05-20 08:50:36",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-09-06",249,0,-9999,"-9999",-9999
22584880,"2020-05-20 08:50:43",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-05-17",137,1,-9999,"-9999",-9999
22589177,"2020-05-20 09:11:30",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-09-18",261,0,-9999,"-9999",-9999
22591551,"2020-05-20 10:18:48",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-06-23",174,0,-9999,"-9999",-9999
22591573,"2020-05-20 10:17:54",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-04-05",95,0,-9999,"-9999",-9999
22591595,"2020-05-20 10:18:13",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-05-06",126,1,-9999,"-9999",-9999
22591624,"2020-05-20 10:18:36",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-04-29",119,0,-9999,"-9999",-9999
22591646,"2020-05-20 10:17:42",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-06-04",155,0,-9999,"-9999",-9999
22591675,"2020-05-20 10:17:49",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,371,"Breaking leaf buds","2018-06-09",160,0,-9999,"-9999",-9999
22588994,"2020-05-20 09:09:12",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-10-21",294,0,-9999,"-9999",-9999
22588950,"2020-05-20 09:11:19",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-11-30",334,0,-9999,"-9999",-9999
22588972,"2020-05-20 09:09:02",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-08-01",213,0,-9999,"-9999",-9999
22585056,"2020-05-20 08:51:46",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-04-26",116,0,-9999,"-9999",-9999
22589015,"2020-05-20 09:10:25",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-05-31",151,0,-9999,"-9999",-9999
22585078,"2020-05-20 08:51:58",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-11-07",311,0,-9999,"-9999",-9999
22589037,"2020-05-20 09:09:21",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-10-01",274,0,-9999,"-9999",-9999
22585100,"2020-05-20 08:53:23",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-04-12",102,0,-9999,"-9999",-9999
22589059,"2020-05-20 09:09:39",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-07-09",190,0,-9999,"-9999",-9999
22585122,"2020-05-20 08:53:00",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-11-21",325,0,-9999,"-9999",-9999
22589081,"2020-05-20 09:10:47",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-05-14",134,0,-9999,"-9999",-9999
22585144,"2020-05-20 08:53:29",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-06-22",173,0,-9999,"-9999",-9999
22589103,"2020-05-20 09:10:16",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-05-22",142,0,-9999,"-9999",-9999
22585166,"2020-05-20 08:54:01",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-09-12",255,0,-9999,"-9999",-9999
22589125,"2020-05-20 09:09:53",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-04-12",102,0,-9999,"-9999",-9999
22585188,"2020-05-20 08:52:12",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-04-20",110,0,-9999,"-9999",-9999
22589147,"2020-05-20 09:10:04",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-08-08",220,0,-9999,"-9999",-9999
22588917,"2020-05-20 09:08:51",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-07-18",199,0,-9999,"-9999",-9999
22588939,"2020-05-20 09:10:57",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,371,"Breaking leaf buds","2018-09-04",247,0,-9999,"-9999",-9999
22584902,"2020-05-20 08:50:56",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-11-01",305,0,-9999,"-9999",-9999
22584924,"2020-05-20 08:52:52",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-03-23",82,0,-9999,"-9999",-9999
22584946,"2020-05-20 08:51:09",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-05-04",124,1,39,"1,001 to 10,000",-9999
22584968,"2020-05-20 08:53:07",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-03-28",87,0,-9999,"-9999",-9999
22584990,"2020-05-20 08:51:24",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-05-24",144,1,39,"More than 10,000",-9999
22585012,"2020-05-20 08:51:30",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-05-31",151,0,-9999,"-9999",-9999
22585034,"2020-05-20 08:51:41",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,371,"Breaking leaf buds","2018-10-17",290,0,-9999,"-9999",-9999
22588985,"2020-05-20 09:09:05",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-06-12",163,0,-9999,"-9999",-9999
22588963,"2020-05-20 09:11:34",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-09-10",253,0,-9999,"-9999",-9999
22585047,"2020-05-20 08:54:05",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-07-19",200,0,-9999,"-9999",-9999
22585069,"2020-05-20 08:51:52",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-06-28",179,0,-9999,"-9999",-9999
22589028,"2020-05-20 09:10:34",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-04-20",110,0,-9999,"-9999",-9999
22585091,"2020-05-20 08:52:47",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-10-10",283,1,-9999,"-9999",-9999
22589050,"2020-05-20 09:09:30",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-04-25",115,0,-9999,"-9999",-9999
22585113,"2020-05-20 08:53:39",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-08-30",242,0,-9999,"-9999",-9999
22589072,"2020-05-20 09:11:12",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-06-27",178,0,-9999,"-9999",-9999
22585135,"2020-05-20 08:52:05",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-10-26",299,0,-9999,"-9999",-9999
22589094,"2020-05-20 09:09:46",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-06-04",155,0,-9999,"-9999",-9999
22585157,"2020-05-20 08:53:14",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-10-03",276,1,-9999,"-9999",-9999
22589116,"2020-05-20 09:11:08",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-06-20",171,0,-9999,"-9999",-9999
22585179,"2020-05-20 08:52:25",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-06-07",158,0,-9999,"-9999",-9999
22589138,"2020-05-20 09:09:59",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-03-28",87,0,-9999,"-9999",-9999
22588908,"2020-05-20 09:11:02",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-11-12",316,1,-9999,"-9999",-9999
22585201,"2020-05-20 08:53:55",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-07-26",207,0,-9999,"-9999",-9999
22588930,"2020-05-20 09:10:41",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-04-04",94,0,-9999,"-9999",-9999
22584893,"2020-05-20 08:50:49",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-08-02",214,0,-9999,"-9999",-9999
22584915,"2020-05-20 08:53:44",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-06-14",165,0,-9999,"-9999",-9999
22584937,"2020-05-20 08:51:03",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-08-09",221,0,-9999,"-9999",-9999
22584959,"2020-05-20 08:52:38",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-07-06",187,0,-9999,"-9999",-9999
22584981,"2020-05-20 08:51:15",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-08-23",235,0,-9999,"-9999",-9999
22585003,"2020-05-20 08:53:35",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-07-12",193,0,-9999,"-9999",-9999
22585025,"2020-05-20 08:51:37",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-08-16",228,0,-9999,"-9999",-9999
22589159,"2020-05-20 09:10:51",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-08-20",232,0,-9999,"-9999",-9999
22584816,"2020-05-20 08:53:51",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-11-14",318,1,-9999,"-9999",-9999
22584838,"2020-05-20 08:50:28",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-09-26",269,1,-9999,"-9999",-9999
22584860,"2020-05-20 08:50:36",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-09-06",249,0,-9999,"-9999",-9999
22584882,"2020-05-20 08:50:43",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-05-17",137,0,-9999,"-9999",-9999
22589179,"2020-05-20 09:11:30",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-09-18",261,0,-9999,"-9999",-9999
22591553,"2020-05-20 10:18:48",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,471,"Falling leaves","2018-06-23",174,0,-9999,"-9999",-9999
22591575,"2020-05-20 10:17:54",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,471,"Falling leaves","2018-04-05",95,0,-9999,"-9999",-9999
22591597,"2020-05-20 10:18:13",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,471,"Falling leaves","2018-05-06",126,0,-9999,"-9999",-9999
22591626,"2020-05-20 10:18:36",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,471,"Falling leaves","2018-04-29",119,0,-9999,"-9999",-9999
22591648,"2020-05-20 10:17:42",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,471,"Falling leaves","2018-06-04",155,0,-9999,"-9999",-9999
22591677,"2020-05-20 10:17:49",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,471,"Falling leaves","2018-06-09",160,0,-9999,"-9999",-9999
22588974,"2020-05-20 09:09:02",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-08-01",213,0,-9999,"-9999",-9999
22588996,"2020-05-20 09:09:12",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-10-21",294,0,-9999,"-9999",-9999
22588952,"2020-05-20 09:11:19",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-11-30",334,0,-9999,"-9999",-9999
22585036,"2020-05-20 08:51:41",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-10-17",290,1,-9999,"-9999",-9999
22585058,"2020-05-20 08:51:46",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-04-26",116,0,-9999,"-9999",-9999
22589017,"2020-05-20 09:10:25",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-05-31",151,0,-9999,"-9999",-9999
22585080,"2020-05-20 08:51:58",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-11-07",311,1,-9999,"-9999",-9999
22589039,"2020-05-20 09:09:21",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-10-01",274,0,-9999,"-9999",-9999
22585102,"2020-05-20 08:53:23",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-04-12",102,0,-9999,"-9999",-9999
22589061,"2020-05-20 09:09:39",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-07-09",190,0,-9999,"-9999",-9999
22585124,"2020-05-20 08:53:00",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-11-21",325,1,-9999,"-9999",-9999
22589083,"2020-05-20 09:10:47",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-05-14",134,0,-9999,"-9999",-9999
22585146,"2020-05-20 08:53:29",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-06-22",173,0,-9999,"-9999",-9999
22589105,"2020-05-20 09:10:16",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-05-22",142,0,-9999,"-9999",-9999
22585168,"2020-05-20 08:54:01",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-09-12",255,0,-9999,"-9999",-9999
22589127,"2020-05-20 09:09:53",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-04-12",102,0,-9999,"-9999",-9999
22585190,"2020-05-20 08:52:12",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-04-20",110,0,-9999,"-9999",-9999
22589149,"2020-05-20 09:10:04",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-08-08",220,0,-9999,"-9999",-9999
22588919,"2020-05-20 09:08:51",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-07-18",199,0,-9999,"-9999",-9999
22588941,"2020-05-20 09:10:57",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-09-04",247,0,-9999,"-9999",-9999
22584904,"2020-05-20 08:50:56",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-11-01",305,1,-9999,"-9999",-9999
22584926,"2020-05-20 08:52:52",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-03-23",82,0,-9999,"-9999",-9999
22584948,"2020-05-20 08:51:09",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-05-04",124,0,-9999,"-9999",-9999
22584970,"2020-05-20 08:53:07",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-03-28",87,0,-9999,"-9999",-9999
22584992,"2020-05-20 08:51:24",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-05-24",144,0,-9999,"-9999",-9999
22585014,"2020-05-20 08:51:30",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-05-31",151,0,-9999,"-9999",-9999
22584827,"2020-05-20 08:50:21",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-05-11",131,0,-9999,"-9999",-9999
22584849,"2020-05-20 08:52:33",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-09-19",262,1,-9999,"-9999",-9999
22584871,"2020-05-20 08:52:20",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132856,471,"Falling leaves","2018-04-04",94,0,-9999,"-9999",-9999
22589168,"2020-05-20 09:10:10",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132858,471,"Falling leaves","2018-05-10",130,0,-9999,"-9999",-9999
22591542,"2020-05-20 10:18:27",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,471,"Falling leaves","2018-04-22",112,0,-9999,"-9999",-9999
22591564,"2020-05-20 10:17:22",26202,41.814045,-88.050323,229,"IL",100,"Quercus","alba","white oak","Plantae",132860,471,"Falling leaves","2018-03-24",83,0,-9999,"-9999",-9999
